Scientific Name,Family,English Common Name,Name (FI),Section,ID,Check,Count,Mazemap route,Cordinates,Aromatic,Crop,Edible,Endangered,Exotic,Flowering,Fragrant,Fruit-bearing,Historical,House plant,Medicinal,Native,Pollinator,Resilient,Dangerous,Seasonal,Striking,Unique,Keep it y/n,Aromaattinen,Viljelykasvi,Syötävä,Uhanalainen,Eksoottinen,Kuukiva,Tuoksuva,Hedelmöivä,Historiallinen,Huonekasvi,Lääkekasvi,Alkuperäinen,Pölyttäjä,Ääriolosuhteet,Vaarallinen,Kausikasvi,Näyttävä,Uniikki,
Empetrum nigrum subsp. Hermaphroditum,,Mountain Crowberry,Pohjaavariksenmarjatie,H-O 	HYÃ–TYKASVI OSASTO,32381,H-O 	HYÃ–TYKASVI OSASTO,1,hilly route,,,,"The berries of Empetrum hermaphroditum are edible and traditionally foraged in northern ecosystems. Their mild, slightly astringent flavor means they are often eaten fresh or combined with other wild berries.",,,,,,,,,"Empetrum hermaphroditum is native to Finland and common in northern boreal and subarctic environments. It grows in cold, open habitats such as heathlands, tundra-like areas, and rocky pine forests.",,"Empetrum nigrum is highly resilient, thriving in cold, exposed environments such as northern heathlands, rocky forests, and tundra-like areas. It tolerates acidic, nutrient-poor soils and harsh winds where few plants can survive.",,,,,y,,,"Empetrum hermaphroditumin marjat ovat syötäviä ja perinteisesti kerättyjä pohjoisten ekosysteemien alueilla. Niiden miedon, hieman astringenttisen maku tarkoittaa, että niitä syödään usein raakana tai yhdistetään muihin villiin marjoihin.",,,,,,,,,"Empetrum hermaphroditum on kotoisin Suomesta ja yleinen pohjoisessa boreaalisen ja subarktisen ilmastotyyppisen ympäristön alueilla. Se kasvaa kylmien, avoimien elinolosuhteissa, kuten korpimetsissä, tundralaisilla alueilla ja kallioisissa mänty- ja kuusimetsissä.",,"Empetrum nigrum on erittäin kestävä, ja se kestää kylmiä, avoimia ympäristöjä, kuten pohjoisia korpimetsiä, kallioisia metsiä ja tundralaisia alueita. Se kestää happamia, ravinteettomia maaperiä ja kovia tuuleita, joissa vain muutamat kasvit selviävät.",,,,,
Peperomia argyreia,,Watermelon peperomia,vesimelonipeperomia,G-HA 	TROOPPINEN HUONE,4924,G-HA 	TROOPPINEN HUONE,1,,,,,,,,,,,,"Rounded leaves carry silver-green banding that resembles the rind of a watermelon, and the compact form makes the plant ideal for small displays and detailed study.",,,,,,,,,,,,,,,,,,,"Pyöreät lehdet ovat hopeanvihreitä ja niissä on vesimelon kuorta muistuttava raidallisuus, ja kompakti muoto tekee kasvista ideaalisen pienille näyttelyille ja tarkalle tutkimukselle.",,,,,,,,,
Philodendron bipinnattifidum,,Philodendron,peikonkämmen,#N/A,,,1,See under tags,,,,,,,,,,,,,,,,"Attractive foliage; ingestion causes irritation, especially for pets.",,,,,,,,,,,,,,,,,,,"Kaunis lehtiväri; sen syönti aiheuttaa ärsytystä, erityisesti kotieläimille.",,,,
Epipremnum aureum ‘Golden’,,Golden pothos,kultaköynnös,Trooppinen huone,,,1,,X: -140.10 Y: 15.58,,,,,,,,,,"Heart-shaped leaves are washed with warm yellow-green marbling, and the trailing stems make it useful for observing how light levels influence variegation and leaf size.",,,,,,,,,y,,,,,,,,,,"Sydänmuotoiset lehdet ovat lämpimän keltavihreää, ja pitkät oksat tekevät siitä hyödyllistä valon vaikutuksen havaitsemiseen, sekä lehtien koon muutokseen.",,,,,,,,,
Phytolacca americana,,Pokeweed,Myrkkykeijunmarja,G-HO 	KASVIHUONE OSASTO,55574,G-HO 	KASVIHUONE OSASTO,1,See under tags,,,,,,,,,,,,,,,,Dark berries resemble edible berries; toxic to humans and pets.,,,,,,,,,,,,,,,,,,,Pimeät marjat muistuttavat syötäviä marjoja; myrkyllisiä ihmisten ja kotieläinten suhteen.,,,,
Pilea peperomioides,,Chinese money plant,kiinanrahanlehti,G-HA 	TROOPPINEN HUONE,16139,G-HA 	TROOPPINEN HUONE,1,,,,,,,,,,,,"Round leaves stand like coins on long stalks, creating a neat geometric pattern that makes the plant especially interesting for people who enjoy symmetry, offsets, and easy propagation.",,,,,,,,,,,,,,,,,,,"Kaksipuoliset lehdet seisovat pitkillä varpuilla, luodin muotoisena geometrisena muotona, joka tekee kasvista erityisen mielenkiintoista symmetrian, offsetin ja helpon lisääntymisen ystäville.",,,,,,,,,
Euphorbia triangularis,,river euphorbia,kruunutyräkki,G-HF 	SUKKULENTIT,17395,G-HF 	SUKKULENTIT,1,,x -153.68  y -5.72,,,,,,,,,,"Euphorbia trigona is valued as a houseplant for its sculptural appearance and remarkable longevity. Its water-storing stems, drought tolerance, and slow growth allow it to thrive indoors for decades with proper care.",,,,,"Euphorbia trigona contains a milky white latex sap that is toxic and can irritate the skin, mouth, and especially the eyes. Contact with the sap should be avoided, and the plant should be handled with care.",,,,y,,,,,,,,,,"Euphorbia trigona on arvostettu huonekasviksi sen veistämällä muoto ja erinomainen pitkäikäisyys. Sen vesi varastoivat varret, kuivuuden kestävyys ja hitaakasvu tekevät siitä mahdolliseksi elää sisällä vuosikymmeniä oikean hoitonsa kanssa.",,,,,"Euphorbia trigona sisältää valkoista, maitiaisvaahto muistuttavaa sapinia, joka on myrkyllistä ja aiheuttaa ihon, suun ja erityisesti silmien ärsytystä. Sapin kanssa olemisesta tulisi välttää, ja kasvia tulisi käsitellä varovasti.",,,,
Plumbago auriculata,,Cape leadwort,Lyijykukka,G-HD 	TALVISAT. L. VÃ„LIMEREN ILMASTOALUE,2637,G-HD 	TALVISAT. L. VÃ„LIMEREN ILMASTOALUE,1,See under tags,,,,,,,,,,,,,,,,Attractive blue flowers; sap causes irritation and toxicity if ingested.,,,,,,,,,,,,,,,,,,,"Kaunis sininen kukka; sapin syönti aiheuttaa ärsytystä ja myrkyllisyyttä, jos se syödään.",,,,
Feijoa sellowiana syn. Acca sellowiana,,Feijoa,Feijoa,Trooppinen huone,,,1,,,,,"Acca sellowiana fruits are eaten fresh or used in jams, desserts, juices, and smoothies. The white flower petals are also edible and have a sweet flavour, making them a unique addition to salads and garnishes.",,,"Acca sellowiana produces striking white flowers with numerous long, bright red stamens in late spring to early summer. The nectar-rich blooms attract bees and birds, while the edible petals add to the plant's ornamental appeal.",,"Acca sellowiana, native to the highlands of southern Brazil, Uruguay, northern Argentina, and Paraguay, produces oval green fruits that ripen in autumn. The soft flesh has a sweet, tropical flavour often compared to pineapple, guava, and strawberry.",,,,,,,,,,,y,,,"Acca sellowiana marjoja syödään raakana tai käytetään hedelmäjässien, makeutusaineiden, juomien ja smoothien valmistuksessa. Valkoiset kukkakukat ovat myös syötäviä ja niillä on makea maku, joten ne ovat ainutlaatuinen lisä ruokien ja koristeiden valmistuksessa.",,,"Acca sellowiana tuottaa vaaleita kukkia, joissa on monta pitkää, kirkasta punertavaa staminia, myöhään keväällä tai kesäkuun alussa. Nektarikas kukat houkuttelevat hyönteisiä ja lintuja, kun taas syötävät kukkakukat lisäävät kasvin koristellisuutta.",,"Acca sellowiana on kasvaa Etelä-Brazilian, Uruguayn, Pohjois-Argentiinan ja Paraguayn korkeilla alueilla, ja tuottaa ovalisia vihreitä hedelmiä, jotka kypsyvät syksyllä.",,,,,,,,,,,
Ficus lyrata,,Fiddle-leaf fig,lyyraviikuna,G-HA 	TROOPPINEN HUONE,2487,G-HA 	TROOPPINEN HUONE,1,,x -133.89  y 9.65,,,,,,,,,,"Ficus lyrata, commonly known as the fiddle-leaf fig, is a tropical tree prized for its large, glossy, violin-shaped leaves. Its bold appearance and impressive size have made it one of the world's most popular houseplants.",,,,,,,,,y,,,,,,,,,,"Ficus lyrata, jota kutsutaan myös viululehtisaksa, on trooppinen puu, joka arvostellaan suurista, kiiltävistä, viulamaisista lehdistään. Sen voimakas ulkonäkö ja vaikuttava koko ovat tehneet siitä yksi maailman suosituimmista huonekasveista.",,,,,,,,,
Forsythia ovata,,Korean forsythia,koreanonnenpensas,P-B 	,2683,P-B 	,1,,,,,,,,"Forsythia ovata produces bright yellow flowers in early spring before the leaves emerge. The blooms appear densely along the branches, creating one of the earliest strong colour displays of the growing season.",,,,,,,,Forsythia ovata is a hardy shrub that tolerates cold winters and adapts well to different soil conditions. It is commonly planted in northern gardens because it survives reliably and flowers consistently each spring.,,yes,,,y,,,,,,"Forsythia ovata tuottaa kirkkaan keltaisia kukkia varhaisella keväällä ennen lehtien ilmestyessä. Kukkien esiintyminen on tiheää oksien pituudella, luomalla yksi varhaisista voimakkaiden värinäyttöistä kasvukauden alussa.",,,,,,,,"Forsythia ovata on kestävä pensas, joka kestää kylmät talvet ja sopeutuu hyvin erilaisiin maaperän olosuhteisiin. Se on yleisesti kasvatettu pohjoisessa, koska se selviää luotettavasti ja kukkii joka kevät.",,Kyllä,,,
Rauvolfia serpentina,,Indian snakeroot,Käärmepensas,G-HA 	TROOPPINEN HUONE,53022,G-HA 	TROOPPINEN HUONE,1,See under tags,,,,,,,,,,,,,,,,Medicinal but potent; misuse dangerous for humans.,,,,,,,,,,,,,,,,,,,"Lääkehaittava, mutta voimakas; väärinkäyttö vaarallista ihmisille.",,,,
Fragaria chiloensis,,Beach strawberry,Chilenmansikka,H-O 	HYÃ–TYKASVI OSASTO,43654,H-O 	HYÃ–TYKASVI OSASTO,1,,,,,"The berries of Fragaria chiloensis are the primary edible part of the plant, enjoyed fresh or used in jams, desserts, beverages, and preserves. The young leaves can also be brewed into herbal tea.",,,,,,,,,,,,,,,,y,,,"Fragaria chiloensisin marjojen on pääasiallinen syötävä osa kasvia, jota nautitaan raakana tai käytetään muroissa, makeissa, juomissa ja säilöissä. Nuoret lehdet voidaan myös keittää hyödylliseksi teeksi.",,,,,,,,,,,,,,,,
Fraxinus chinensis var. Rhynchophylla,,chinese ash,nirhkiinansaarni,R-O 	ARBORETUM,33717,R-O 	ARBORETUM,1,,,,,,,,,,,,,,,,,,yes,"Fraxinus chinensis subsp. rhynchophylla is a deciduous tree with a tall, upright structure and finely divided leaves. In autumn it can turn yellow to golden, adding clear seasonal colour before leaf fall.",,y,,,,,,,,,,,,,,,,Kyllä,"Fraxinus chinensis subsp. rhynchophylla on lehtipuu, jolla on pitkä, pysty rakenne ja hienosti jakautuneet lehdet. Syksyllä se voi muuttua keltaiseksi kultaiseksi, lisäämällä selkeää kaudenvaihtelua ennen lehtien laskua.",,
Fuchsia boliviana,,lantern fuchsia,bolivianverenpisara,G-HO 	KASVIHUONE OSASTO,57209,G-HO 	KASVIHUONE OSASTO,1,,x -152.22  y 1.18,,,,,,"Fuchsia boliviana is a flowering shrub native to the cloud forests of Bolivia, Peru, and Argentina. It produces long, hanging clusters of bright red, tubular flowers that can reach impressive lengths. The flowers are highly ornamental and stand out against the plant’s green foliage, creating a dramatic cascading display.",,,,,,,"Fuchsia boliviana is a flowering shrub native to the cloud forests of Bolivia, Peru, and Argentina. It is mainly pollinated by hummingbirds, which are attracted to its bright red, nectar-rich tubular flowers. As the birds feed, they transfer pollen between blooms, ensuring successful reproduction in its native cloud forest habitat.",,,,,,y,,,,,,"Fuchsia boliviana on kukkiva pensas, joka on kotoisin Bolivian, Perun ja Argentiinan pilvikerrostumista. Se tuottaa pitkiä, riippuvia kukkien ryhmiä, jotka ovat kirkkaan punaisia, putkimaisia kukkia, jotka voivat saavuttaa vaikuttavia pituutta. Kukat ovat hyvin koristelluja ja erottuvat kasvin vihreistä lehdistä, luomalla dramatisoituneen laskeutuvan näyttöön.",,,,,,,"Fuchsia boliviana on kukkiva pensas, joka on kotoisin Bolivian, Perun ja Argentiinan pilvikerrostumista. Sen pääasiallinen siitepölyä levittäjä on hummeri, joka on houkuteltu sen kirkkaan punaisen, nektari-rikkaan putkimaisen kukkien avulla. Kun lintu syö, se siirtää siitepölyä kukista toiseen, varmistamalla onnistuneen lisääntymisen luonnollisessa pilvikerrostumien elinympäristössä.",,,,,,
Geranium pratense,,Meadow crane's-bill,Kyläkurjenpolvi,K-24-5 	PUISTOKASVEJA,47662,K-24-5 	PUISTOKASVEJA,1,,,,,,,,"Geranium pratense produces violet-blue, five-petaled flowers in early to mid-summer. The blooms are held on branching stems above deeply divided leaves and create a light meadow-like display.",,,,,,,"Geranium pratense provides nectar and pollen for bees, butterflies, and other insects. Its open flowers and long blooming period make it a steady food source in grassland and garden environments.",,,,,,y,,,,,,"Geranium pratense tuottaa varhaisella kesällä tai kesäkuun puolivälissä violetin sinisiä, viisilehtisiä kukkia. Kukkien esiintyminen on oksien haaralla, ja ne luovat vaalean meadow-määrityksen.",,,,,,,"Geranium pratense tarjoaa nektaria ja siitepölyä hyönteisille, kuten mehiläisille, perhosille ja muille hyönteisille. Avoin kukka ja pitkä kukkivakaus tekevät siitä vakautta ruokavirrassa ja puutarhassa.",,,,,,
Ginkgo biloba,,Ginkgo,Neidonhiuspuu,G-HB 	KESÃ„SATEIDEN ALUE,2621,G-HB 	KESÃ„SATEIDEN ALUE,2,,x -162.85  y -8.86,,,,,,,,,"Ginkgo biloba has been cultivated for more than 1,000 years around Chinese temples and monasteries, helping preserve the species after it disappeared from most of its natural range. The tree later spread to botanical gardens around the world and gained further fame when several ginkgo trees survived the 1945 atomic bombing of Hiroshima, resprouting despite the devastation around them.",,"Ginkgo biloba leaves have been used in traditional Chinese medicine for centuries. Today, extracts are widely used in herbal supplements, although their medical benefits remain an active area of scientific research.",,,,,,,"Ginkgo biloba, native to China, is the only surviving species of an ancient group of plants that existed over 200 million years ago. Often called a ""living fossil,"" it has no close living relatives and represents one of the oldest tree lineages on Earth.",y,,,,,,,,,"Ginkgo biloba on ollut viljelty yli 1 000 vuotta Kiinan temppeleillä ja luostareilla, auttaen säilyttämään lajia sen luonnollisesta levinneisyysalueestaan. Puu myöhemmin levisi maailmanlaajuisiin kasvitieteellisiin puutarhoihin ja sai lisää mainetta, kun useita ginkgo-puita selvisi 1945 Hiroshiman atomipommin räjähdyksestä, uudelleen kasvattuaan vaikka ympärillä oleva tuho.",,"Ginkgo biloban lehdet ovat olleet käytössä perinteisessä kiinalaisessa lääketieteessä vuosisatoja. Nykyään niiden extraktit ovat laajasti käytössä luonnonlääkevalmisteissa, vaikka niiden lääkeominaisuuksista on edelleen aktiivista tieteellistä tutkimusta.",,,,,,,"Ginkgo biloba on kotoisin Kiinasta ja on vanhan kasvilajikkeen ainoa elossa oleva edustaja, joka on ollut olemassa yli 200 miljoonaa vuotta sitten. Se on usein kutsuttu ""eläväksi fossiiliksi"", sillä se ei ole läheistä sukulaisuutta elävien kasvien kanssa ja edustaa yhtä vanhaa puulajikkeen perhettä Maan pinnalla.",
Glycyrrhiza glabra,,Liquorice / licorice ,lakrtitsikasvi,Lääkekasvit / maustekasvit,,,1,,,,"Glycyrrhiza glabra, commonly known as liquorice, is a perennial plant cultivated for its sweet-tasting roots. The roots are harvested and used as a natural flavouring in sweets, drinks, and herbal preparations due to their strong, naturally sweet compounds.",,,,,,,"Glycyrrhiza glabra has been used since ancient times in regions such as Egypt, Greece, and Asia. It was valued both as a medicinal plant and a sweet flavouring long before refined sugar became widely available",,"Glycyrrhiza glabra has a long history of use in traditional medicine. Its root extracts have been used in herbal remedies for soothing the throat and supporting digestive health, and it remains an important plant in many herbal traditions today.",,,"Glycyrrhiza glabra is a hardy perennial that thrives in dry, sunny environments. Its deep root system allows it to tolerate drought conditions, making it well adapted to cultivation in semi-arid regions.",,,,,y,,"Glycyrrhiza glabra, jota kutsutaan yleisesti liikereksi, on vuosittainen kasvi, jota kasvatetaan sen makean makuisten juurien vuoksi. Juuret kerätään ja käytetään luonnollisena maustavana aineena makeissa, juomissa ja luonnonlääkevalmisteissa sen vahvojen, luonnollisesti makeiden ainesosien vuoksi.",,,,,,,"Glycyrrhiza glabra on ollut käytössä vanhastaan alueilla kuten Egyptissä, Kreikassa ja Aasiassa. Se arvostettiin sekä lääkekasvina että makeana maustavana aineena ennen kuin räätälöity sokeri tuli laajasti saataville.",,"Glycyrrhiza glabra on ollut pitkään käytössä perinteisessä lääketieteessä. Sen juurien extraktit ovat käytetty luonnonlääkevalmisteissa kurkunpään sovittamiseen ja ruoansulatusten tukemiseen, ja se on edelleen tärkeä kasvi monissa luonnonlääkeperinteissä.",,,"Glycyrrhiza glabra on kestävä vuosittainen kasvi, joka kasvaa hyvin kuivissa, aurinkoisissa ympäristöissä. Sen syvä juurijärjestelmä sallii kuivuuden kestävyyden, mikä tekee siitä soveltuvan kasvattamiseen puoliväkivaltaisilla alueilla.",,,,,
Gossypium barbadense,Malvaceae,Cotton plant,Intianpuuvilla,G-HA 	TROOPPINEN HUONE,49208,G-HA 	TROOPPINEN HUONE,1,,x -128.92  y 14.04,,,,,,,,,"Gossypium barbadense, commonly known as extra-long staple cotton or Pima cotton, is a species of cotton native to tropical South America. It was cultivated for thousands of years in regions such as coastal Peru and Ecuador, where ancient civilizations valued its exceptionally long, fine fibers for making strong and high-quality textiles.

During the colonial period, it was widely spread through global trade and became an important cash crop in plantation economies in the Caribbean and the southern United States. Like many cotton species, it was also heavily tied to the system of enslaved labour, particularly in the Americas, where enslaved people were forced to grow and harvest cotton on large plantations under brutal conditions. Today, it remains valued for luxury textiles due to its softness, strength, and durability.",,,,,,,,,,y,,,,,,,,,"Gossypium barbadense, jota kutsutaan yleisesti extra-long staple cottoniksi tai Pima cottoniksi, on kotonnan laji, joka on kotoisin trooppisesta Etelä-Amerikasta. Se on kasvatettu tuhansia vuosia alueilla kuten rannikon Perussa ja Ecuadorissa, missä vanhat sivilisaatiot arvostivat sen erityisen pitkien, kapeiden vihreiden jyvien vuoksi, joita käytettiin vahvien ja laadukkaiden tekstiilien valmistukseen.",,,,,,,,,,
Grammatophyllum speciosum,,Tiger orchid,no finnish name,Trooppinen huone,,,1,,,,,,,,"Grammatophyllum speciosum produces enormous branched flower spikes that can carry well over one hundred blossoms at a time. The yellow flowers are decorated with bold reddish-brown markings, creating a tiger-like pattern that inspired its common name, Tiger Orchid.",,,,,,,,,,,,"Grammatophyllum speciosum holds the title of the world's largest orchid. Mature plants can weigh several hundred kilograms and produce enormous flower spikes carrying over one hundred blooms, making it one of the most impressive orchids on Earth.",y,,,,,,"Grammatophyllum speciosum tuottaa suuria, haarautuneita kukkakukkia, jotka voivat kantaa yli sadan kukkaa kerrallaan. Keltakukat ovat koristeltu voimakkailla punertavilla ruskeilla merkeillä, mikä loi sen yleisen nimen, Tiikeriorkidea.",,,,,,,,,,,,"Grammatophyllum speciosum pitää maailman suurimman orkidean titteliä. Kypsät kasvit voivat painaa useita satoja kilogrammoja ja tuottaa suuria kukkakukkia, joissa on yli sadan kukkaa, mikä tekee siitä yhden maailman vaikuttavimmista orkideista.",
Helianthus annuus,,Sunflower,isoauringonkukka,Hyötykasvit,,,1,,,,"Helianthus annuus is cultivated on a commercial scale in temperate regions and ranks among the world's most important agricultural plants. Its reliable growth, high yields, and broad adaptability make it a valuable field crop.","The seeds, young shoots, leaves, flower buds, petals, and roots of Helianthus annuus are edible. The seeds are the most widely consumed, eaten raw, roasted, or processed into sunflower oil and a variety of food products.",,,"Helianthus annuus produces large, upright flower heads composed of hundreds to thousands of tiny florets surrounded by bright yellow ray petals. The blooms follow the sun during early development before facing east at maturity.",,,,,,,"The large flower heads of Helianthus annuus provide abundant nectar and pollen for bees, butterflies, hoverflies, and other pollinating insects. Hundreds of tiny florets open one after another, allowing pollinators to visit the same flower head over many days.",,,yes,,,y,,"Helianthus annuus kasvatetaan kaupallista mittakaavaa teollisuudessa lauhkeissa alueilla ja kuuluu maailman tärkeimpiin maatalouskasveihin. Sen uskottava kasvu, korkeat tuotokset ja laaja sopeutuvuus tekevät siitä arvokas peltoviljelykasvi.","Helianthus annuus -kasvin siemenet, nuoret oksat, lehdet, kukkien kehitys, heteet, heteet ja juuret ovat syötäviä. Siemenet ovat laajimmin kulutettuja, jotka syödään raakoina, paistettuina tai valmistettuina aurinkokurkun mukaan ja erilaisiin ruoanlaittoihin.",,,"Helianthus annuus tuottaa suuria, pystyä kukkakukkaa, joka koostuu satoista tuhansiin pienistä flo",,,,,,,"Helianthus annuus -sukkaset tuottavat runsaasti nektariaa ja pollenia hyönteisille, kuten mehiläisille, perhosille, kimalaisille ja muille siitepölyttäjille. Satoja pieniä floretteja avautuvat toinen toisensa jälkeen, ja siitepölyttäjät voivat käydä saman kukkason kerran toisensa jälkeen useita päiviä.",,,Kyllä,,,
Solanum dulcamara,,Bittersweet nightshade,Punakoiso,K-6-2 	TUORE JA KOSTEA LEHTO,43863,K-6-2 	TUORE JA KOSTEA LEHTO,1,See under tags,,,,,,,,,,,,,,,,Red berries resemble small tomatoes; toxic to humans and pets.,,,,,,,,,,,,,,,,,,,Punaiset marjat muistuttavat pieniä tomaatteja; myrkyllisiä ihmisten ja eläinten suhteen.,,,,
Helianthus tuberosus,,Jerusalem artichoke,maa-artisokka,H-2 	MUUT TÃ„RKKELYSKASVIT,4340,H-2 	MUUT TÃ„RKKELYSKASVIT,1,,,,"Helianthus tuberosus is cultivated as a perennial food crop grown for its underground tubers. It is planted in temperate regions and produces tall, sunflower-like plants that yield starchy tubers harvested mainly in autumn and winter.","Helianthus tuberosus has edible tubers that can be eaten raw, cooked, or roasted. They have a sweet, nutty flavour and are used in soups, salads, and vegetable dishes, though they can cause digestive sensitivity in some people.",,,"Helianthus tuberosus produces tall stems topped with bright yellow sunflower-like flowers. The plant blooms in late summer to autumn, adding ornamental value while also supporting pollinators such as bees.",,,Helianthus tuberosus is native to North America and was cultivated by Indigenous peoples long before being introduced to Europe in the 17th century. It later became a minor but widespread food crop in temperate agriculture.,,,,,,,yes,,,y,,"Helianthus tuberosus kasvatetaan yleisesti perinteisesti syötäväksi kasviksena, joka kasvaa maan alla olevista varretta. Se kasvaa lämpimissä alueissa ja tuottaa pitkiä aurinkokukkaa muistuttavia kasveja, jotka tuottavat syötäviä varretta, jotka kerätään pääosin syksyllä ja talvella.","Helianthus tuberosus -varret ovat syötäviä raakoina, keittynä tai paistettuna. Ne ovat makeita ja pähkinämaistisia ja käytetään keittoissa, salaatissa ja kasvisruoissa, vaikka ne voivat aiheuttaa ruoansulatusta hermostuneisuutta joissain ihmisissä.",,,"Helianthus tuberosus tuottaa pitkiä varret, joissa on kirkkaan keltainen aurinkokukkaa muistuttava kukka. Kasvi kukkii myöhäisessä kesällä syksyyn mennessä, lisää koristearvoa ja tukee myös siitepölyttäjiä, kuten mehiläisiä.",,,Helianthus tuberosus on kotoisin Pohjois-Amerikasta ja se kasvatettiin alkuperäiskansojen keskuudessa pitkään ennen kuin se esiteltiin Eurooppaan 1600-luvulla. Se myöhemmin muodostui vähäpätöiseksi mutta laajasti levinneeksi ruokakasviksena lämpimissä maissa.,,,,,,,Kyllä,,,
Solanum nigrum,,Black nightshade,Mustakoiso,#N/A,,,1,See under tags,,,,,,,,,,,,,,,,"Dark berries similar to edible types; some are toxic, creating confusion risk.",,,,,,,,,,,,,,,,,,,"Tummat marjat ovat samanlaisia syötäviin tyyppiin, mutta jotkut ovat myrkyllisiä, mikä aiheuttaa sekaannuksen riskiä.",,,,
Solanum spp.,,Nightshade,Koisot,#N/A,,,1,See under tags,,,,,,,,,,,,,,,,Many species contain toxins – relevant risk to humans and pets.,,,,,,,,,,,,,,,,,,,Monet lajit sisältävät myrkyllisiä ainesosia – riski ihmisten ja eläinten suhteen.,,,,
Hibiscus syriacus,,Rose of Sharon,sinihibiskus,G-HE 	LAUHKEA,17743,G-HE 	LAUHKEA,1,,x -162.14  y -11.52,,,,,,"Hibiscus syriacus, native to China and parts of East Asia, produces large, showy flowers from mid-summer into autumn. The blooms come in shades of white, pink, purple, and blue, providing colour long after many other shrubs have finished flowering.",,,,,,,"Hibiscus syriacus attracts bees, butterflies, and other pollinating insects with its nectar-rich flowers. Its late flowering period makes it an important food source when fewer plants are in bloom.",,,,"Hibiscus syriacus is valued for its large, tropical-looking flowers and long blooming season. Despite its exotic appearance, it is a deciduous shrub capable of growing in temperate climates.",,y,,,,,,"Hibiscus syriacus on kotoisin Kiinasta ja osista Itä-Aasiaa, ja se tuottaa suuria, näyttäviä kukkia kesäkuun puolivälistä syksyyn mennessä. Kukat tulevat valkoisista, pinkistä, purppurasta ja sinisistä, ja ne tarjoavat värinä myös monet muut kasvit on lopettaneet kukkivan.",,,,,,,"Hibiscus syriacus houkuttelee mehiläisiä, perhosia ja muita siitepölyttäjiä nauttiaan nektariaa rikkaista kukistaan. Myöhäinen kukkivakaus tekee siitä tärkeän ruokavirran, kun muut kasvit eivät ole kukkivina.",,,,"Hibiscus syriacus on arvostettu suurista, trooppisista näköpiirteistä ja pitkästä kukkivakaudesta. Vaikka se on eksotiikkaa näköpiirteeltään, se on lehtikuusi, joka pystyy kasvamaan lämpimissä ilmastoissa.",,
Spigelia marilandica,,Indian pink,Intiaanipunakukka,#N/A,,,1,See under tags,,,,,,,,,,,,,,,,Highly attractive red flowers; toxic if ingested.,,,,,,,,,,,,,,,,,,,"Hyvin houkuttelevat punaiset kukat; myrkyllisiä, jos niitä syödään.",,,,
Psilotum nudum,Psilotaceae,Whisk fern,Haarusanikkainen,G-HA 	TROOPPINEN HUONE,5112,G-HA 	TROOPPINEN HUONE,1,Primitive vascular plant with no true roots or leaves. Branched green shoots resembling early fossil plants. Grows in moist tropical environments.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hippophae rhamnoides 'Raisa',,Seaberry,Tyrni,H-O 	HYÃ–TYKASVI OSASTO,22589,H-O 	HYÃ–TYKASVI OSASTO,1,,,"Hippophae rhamnoides ‘Raisa’ contains aromatic oils in its berries and leaves that give the plant a distinctive fruity, slightly citrus-like scent. These natural compounds contribute to its use in juices, cosmetics, skincare products, and nutritional oils extracted from the fruit and seeds.",,"Hippophae rhamnoides ‘Raisa’ produces bright orange berries that are edible but intensely tart. They are commonly processed into juices, jams, syrups, and desserts, and are especially valued for their exceptionally high vitamin C content.",,,,,"Hippophae rhamnoides ‘Raisa’ produces abundant clusters of bright orange berries that ripen from late summer into autumn. The fruits remain attached well after ripening, providing an important food source for wildlife and a long harvesting season for growers.","Hippophae rhamnoides has been valued across Europe and Asia for centuries. Ancient Greek writers recorded that horses grazing on its leaves developed glossy coats, giving rise to the name Hippophae, meaning ""shining horse."" In northern Europe and Russia, the berries became prized for their remarkable nutritional value, while modern cultivars such as ‘Raisa’ were developed to improve fruit quality, yield, and suitability for cultivation in cold northern climates.",,,,,"Hippophae rhamnoides ‘Raisa’ is exceptionally resilient, tolerating harsh winters, drought, strong winds, and poor sandy soils. Its extensive root system also helps stabilize soil, making it useful for erosion control and coastal planting.",,,,,y,"Hippophae rhamnoides 'Raisa' sisältää aromattisia öljyjä hedelmien ja lehtien, jotka antavat kasville erityinen hedelmäinen, hieman sitrushedelmäinen tuoksu.",,"Hippophae rhamnoides 'Raisa' tuottaa kirkkaan oranssia hedelmää, joka on syötävää, mutta erittäin hapan.",,,,,"Hippophae rhamnoides 'Raisa' tuottaa runsaasti kirkkaan oranssia hedelmää, joka kypsentyy myöhäisestä kesästä syksyyn.",Hippophae rhamnoides on arvostettu Euroopassa ja Aasiassa vuosisatojen ajan.,,,,,"Hippophae rhamnoides 'Raisa' on erittäin kestävä, kestäen ankaria talvia, kuivuutta, voimakkaita tuuleja ja huonoa hiekkaista maata.",,,,,
Strychnos nux-vomica,,Strychnine tree,Stryniini puu,G-HA 	TROOPPINEN HUONE,37373,G-HA 	TROOPPINEN HUONE,1,See under tags,,,,,,,,,,,,,,,,Seeds are extremely toxic; powerful poison dangerous to humans.,,,,,,,,,,,,,,,,,,,Siemenet ovat erittäin myrkyllisiä; voimakas myrkky vaarallinen ihmisille.,,,,
